Car_name,Year,Distance,Fuel_type,Drive,Price
Volkswagen Vento HIGHLINE,2016,76481,DIESEL,AUTOMATIC,630000
Maruti Dzire VDI,2017,72298,DIESEL,MANUAL,562000
Hyundai NEW I20,2021,22678,DIESEL,MANUAL,1039000
Maruti Ertiga VXI,2014,57584,PETROL,MANUAL,586000
Mahindra Bolero SLX,2012,69610,DIESEL,MANUAL,338000
Honda City 1.5L,2012,60111,PETROL,MANUAL,458000
Renault Duster RXZ,2021,22588,PETROL,MANUAL,1123000
Hyundai Elite i20,2019,50814,PETROL,MANUAL,581000
Volkswagen Polo TRENDLINE,2015,58651,PETROL,MANUAL,438000
Ford Ecosport TREND,2016,49017,PETROL,MANUAL,575000
Maruti Baleno DELTA,2021,28154,PETROL,MANUAL,694000
Hyundai Creta EX,2019,24484,PETROL,MANUAL,893000
Honda Amaze 1.2L,2023,8376,PETROL,AUTOMATIC,908000
Maruti S PRESSO,2019,13048,PETROL,AUTOMATIC,490000
Maruti Wagon R,2016,55033,PETROL,MANUAL,346000
Maruti Alto VXI,2019,89638,PETROL,MANUAL,273000
Renault Kwid RXT,2022,20654,PETROL,AUTOMATIC,595000
Tata NEXON XM,2023,13397,PETROL,MANUAL,850000
Maruti Baleno SIGMA,2020,31850,PETROL,MANUAL,604000
Maruti Ciaz ZETA,2017,92842,PETROL,AUTOMATIC,597000
Hyundai Elite i20,2016,62056,PETROL,MANUAL,480999
Renault Kwid RXT,2019,66768,PETROL,MANUAL,356000
Maruti Baleno DELTA,2017,67257,PETROL,MANUAL,576000
Hyundai New Elantra,2017,47713,DIESEL,AUTOMATIC,1189000
Hyundai i20 MAGNA,2013,52084,CNG,MANUAL,341000
Maruti New Wagon-R,2023,2134,PETROL,MANUAL,550000
Maruti Baleno ZETA,2016,78363,PETROL,AUTOMATIC,562000
Renault Kwid RXT,2019,20725,PETROL,MANUAL,458000
Volkswagen Polo COMFORTLINE,2017,61546,PETROL,MANUAL,556000
Volkswagen Vento TRENDLINE,2010,71366,PETROL,MANUAL,314000
Skoda Rapid ELEGANCE,2015,66645,PETROL,MANUAL,493000
Tata NEXON XZA,2018,32714,PETROL,AUTOMATIC,839000
Maruti Wagon R,2018,78223,CNG,MANUAL,385000
Ford FREESTYLE TITANIUM,2018,33881,DIESEL,MANUAL,654000
Maruti Baleno DELTA,2017,53582,PETROL,MANUAL,526000
Tata PUNCH ADVENTURE,2022,34088,PETROL,MANUAL,675000
KIA SONET HTK,2021,85360,DIESEL,AUTOMATIC,850000
Tata ALTROZ XZ,2020,28160,PETROL,MANUAL,694000
Nissan Terrano XV,2017,58826,DIESEL,AUTOMATIC,791000
Maruti Celerio ZXI,2018,67622,PETROL,MANUAL,362000
Maruti Celerio ZXI,2015,75112,PETROL,AUTOMATIC,419000
Hyundai GRAND I10,2019,18462,PETROL,AUTOMATIC,711000
Tata NEXON XZ,2021,12200,PETROL,MANUAL,899000
MG HECTOR PLUS,2021,14065,PETROL,AUTOMATIC,1928000
Honda City 1.5L,2021,22827,PETROL,AUTOMATIC,1369000
Maruti Swift ZXI,2018,44996,PETROL,AUTOMATIC,696000
Tata Safari XM,2021,48158,DIESEL,MANUAL,1442000
Maruti Alto K10,2014,36066,PETROL,MANUAL,281000
Maruti Alto LXI,2020,3217,PETROL,MANUAL,318000
Hyundai Eon ERA,2014,71292,PETROL,MANUAL,221000
Honda Jazz 1.2L,2022,5581,PETROL,AUTOMATIC,900000
Toyota URBAN CRUISER,2022,27572,PETROL,MANUAL,951000
Maruti IGNIS DELTA,2019,12281,PETROL,MANUAL,498000
Maruti IGNIS DELTA,2023,469,PETROL,AUTOMATIC,640000
KIA SONET HTX,2022,36545,PETROL,MANUAL,1105000
Hyundai GRAND I10,2020,62345,CNG,MANUAL,670000
Honda Jazz 1.2L,2021,16113,PETROL,MANUAL,811000
Maruti Alto LXI,2019,3506,PETROL,MANUAL,387000
Maruti Dzire ZXI,2021,23264,PETROL,AUTOMATIC,762000
Maruti Swift VXI,2012,83429,PETROL,MANUAL,312000
Hyundai NEW SANTRO,2018,99508,CNG,MANUAL,391000
Hyundai i20 ASTA,2011,72357,PETROL,MANUAL,231999
Hyundai NEW SANTRO,2020,41671,PETROL,MANUAL,461000
Maruti Ciaz DELTA,2019,54408,PETROL,AUTOMATIC,695000
Maruti Celerio VXI,2015,27075,PETROL,AUTOMATIC,381000
Hyundai Grand i10,2017,40065,DIESEL,MANUAL,450000
Honda City 1.5L,2017,39331,PETROL,MANUAL,718000
Mahindra XUV500 W7,2021,48772,DIESEL,MANUAL,1339000
Volkswagen Vento HIGHLINE,2017,95112,DIESEL,MANUAL,653000
Maruti New Wagon-R,2022,8807,PETROL,MANUAL,574000
Hyundai i20 Active,2017,45641,PETROL,MANUAL,586000
Hyundai Grand i10,2019,51056,PETROL,MANUAL,444000
Maruti Ciaz DELTA,2019,55076,PETROL,AUTOMATIC,710000
Hyundai Grand i10,2018,6416,PETROL,MANUAL,488999
Maruti IGNIS ZETA,2018,58637,PETROL,MANUAL,451999
Honda City 1.5L,2016,83615,PETROL,MANUAL,578000
Honda City 1.5L,2014,81451,PETROL,MANUAL,483000
KIA SELTOS HTK,2019,86050,PETROL,MANUAL,905000
Hyundai Grand i10,2016,26511,PETROL,AUTOMATIC,492000
Tata NEXON XZA,2022,28630,PETROL,AUTOMATIC,1021000
Honda Amaze 1.2L,2014,47716,PETROL,AUTOMATIC,448000
Hyundai GRAND I10,2019,29299,PETROL,MANUAL,657000
Maruti Ciaz ZXI,2017,58936,PETROL,AUTOMATIC,617000
Maruti Swift Dzire,2014,114899,DIESEL,MANUAL,495000
Hyundai GRAND I10,2021,48042,CNG,MANUAL,631000
Maruti Baleno ZETA,2022,1367,PETROL,MANUAL,797000
Maruti Celerio VXI,2015,9290,PETROL,AUTOMATIC,364000
Maruti Celerio VXI,2018,9547,PETROL,AUTOMATIC,434999
Tata Harrier XZA,2021,54180,DIESEL,AUTOMATIC,1719000
Hyundai Creta SX,2019,71080,PETROL,MANUAL,813000
Nissan MAGNITE XE,2022,12695,PETROL,MANUAL,598000
Hyundai NEW SANTRO,2019,66855,CNG,MANUAL,459999
Maruti Ciaz ALPHA,2018,104059,PETROL,AUTOMATIC,709000
Honda Amaze 1.2L,2020,21859,PETROL,AUTOMATIC,771000
Hyundai Elite i20,2017,58991,CNG,MANUAL,509999
Tata NEXON XZ,2018,13012,PETROL,MANUAL,839000
Tata TIAGO NRG,2018,26295,DIESEL,MANUAL,469000
Ford Ecosport TITANIUM,2018,99291,PETROL,MANUAL,613000
Honda WR-V 1.2L,2018,28488,PETROL,MANUAL,671000
Hyundai AURA SX,2020,12465,PETROL,AUTOMATIC,706000
Maruti Baleno ZETA,2018,54458,PETROL,AUTOMATIC,579000
Skoda SLAVIA STYLE,2022,4698,PETROL,AUTOMATIC,1753000
Honda City 1.5L,2019,52396,PETROL,AUTOMATIC,1132000
Renault TRIBER RXZ,2020,41840,PETROL,MANUAL,628000
Hyundai Creta SX,2016,73228,PETROL,AUTOMATIC,811999
Maruti Wagon R,2012,97357,PETROL,MANUAL,194000
Honda Amaze 1.5L,2019,55414,DIESEL,AUTOMATIC,726000
Hyundai Elite i20,2019,25475,PETROL,MANUAL,558000
Maruti Swift LXI,2022,16936,PETROL,MANUAL,621000
Maruti Ciaz ALPHA,2019,55501,PETROL,MANUAL,803999
Maruti Wagon R,2014,99572,PETROL,MANUAL,319000
Renault TRIBER RXT,2020,47702,PETROL,MANUAL,549000
Volkswagen Vento HIGHLINE,2016,83571,PETROL,MANUAL,515000
Hyundai Grand i10,2015,23376,PETROL,MANUAL,374000
Mahindra XUV300 W6,2019,38833,PETROL,MANUAL,806000
Maruti XL6 ZETA,2020,34566,PETROL,AUTOMATIC,999000
Hyundai New Elantra,2016,121498,PETROL,AUTOMATIC,792000
Ford Ecosport TITANIUM,2016,106786,DIESEL,MANUAL,589000
Hyundai NEW SANTRO,2020,68660,PETROL,MANUAL,492000
Tata Tiago XZ,2019,55854,DIESEL,MANUAL,537000
Hyundai Verna 1.6,2016,65882,PETROL,AUTOMATIC,542000
Datsun Redi Go,2018,71482,PETROL,MANUAL,273000
Maruti Swift LXI,2017,55004,PETROL,MANUAL,412000
Hyundai Grand i10,2017,50111,PETROL,AUTOMATIC,451999
KIA SONET GTX,2023,10137,DIESEL,AUTOMATIC,1532000
Maruti Swift Dzire,2014,100668,DIESEL,MANUAL,532000
Hyundai VENUE SX,2020,51164,PETROL,MANUAL,863000
Hyundai Eon SPORTZ,2012,61698,PETROL,MANUAL,225000
Renault Kwid RXT,2020,38159,PETROL,MANUAL,379000
Hyundai Verna 1.6,2018,101110,DIESEL,MANUAL,908000
Renault Kwid CLIMBER,2022,15517,PETROL,MANUAL,488000
Maruti Dzire ZXI,2018,50746,PETROL,AUTOMATIC,682000
Honda City 1.5L,2016,115151,PETROL,MANUAL,504000
Maruti Swift ZXI,2011,67725,PETROL,MANUAL,313000
Hyundai Grand i10,2019,47830,PETROL,MANUAL,499000
Tata Tiago XM,2017,72629,PETROL,MANUAL,432000
Tata ALTROZ XE,2020,37231,PETROL,MANUAL,542000
Honda Amaze 1.2L,2018,63220,PETROL,MANUAL,543000
Hyundai i20 SPORTZ,2014,65562,PETROL,MANUAL,438999
Hyundai Creta SX,2015,101468,PETROL,MANUAL,633000
Maruti Celerio VXI,2015,51010,PETROL,MANUAL,303000
KIA SONET GTX,2020,47569,DIESEL,AUTOMATIC,1080000
Hyundai Elite i20,2014,80713,PETROL,MANUAL,487000
Nissan Micra XV,2017,60449,PETROL,AUTOMATIC,492000
Tata NEXON XZA,2018,90759,DIESEL,AUTOMATIC,836999
Hyundai i10 MAGNA,2015,45868,PETROL,MANUAL,312000
Hyundai Creta SX,2016,70474,PETROL,MANUAL,826000
Hyundai Elite i20,2016,80528,PETROL,MANUAL,562000
Tata TIGOR XM,2018,39280,PETROL,MANUAL,463999
Maruti Celerio ZXI,2017,51219,PETROL,AUTOMATIC,466000
Hyundai i20 ASTA,2013,69222,PETROL,MANUAL,419000
Toyota Etios CROSS,2015,81911,DIESEL,MANUAL,378000
Hyundai NEW I20,2022,32881,PETROL,MANUAL,696000
Maruti Alto 800,2016,70930,PETROL,MANUAL,256999
Hyundai Santro Xing,2011,43324,PETROL,MANUAL,282000
Maruti Wagon R,2013,80256,PETROL,MANUAL,288000
Volkswagen Vento HIGHLINE,2016,83662,PETROL,MANUAL,482000
Honda City 1.5L,2015,88569,DIESEL,MANUAL,499000
Maruti Swift VXI,2014,84536,CNG,MANUAL,412000
Mahindra XUV300 W8,2022,19363,PETROL,MANUAL,1141000
Jeep Compass LIMITED,2018,60821,DIESEL,MANUAL,1163000
Ford Ecosport TITANIUM,2019,110652,DIESEL,MANUAL,807000
Maruti Alto VXI,2021,12843,PETROL,MANUAL,413000
Maruti Baleno DELTA,2016,83653,PETROL,MANUAL,522000
Maruti Celerio VXI,2018,84145,PETROL,MANUAL,423000
Maruti Baleno ZETA,2015,91699,PETROL,MANUAL,474000
Honda City 1.5L,2013,96158,PETROL,AUTOMATIC,438000
Maruti IGNIS SIGMA,2017,51748,PETROL,MANUAL,473000
Maruti Alto LXI,2010,62504,PETROL,MANUAL,151000
Maruti Ciaz VXI,2016,69098,PETROL,MANUAL,401999
Honda City 1.5L,2014,54674,DIESEL,MANUAL,395000
Maruti Baleno DELTA,2019,35908,PETROL,AUTOMATIC,621000
Maruti Dzire VXI,2017,36163,PETROL,AUTOMATIC,532000
Maruti S PRESSO,2020,17995,PETROL,AUTOMATIC,484000
Maruti Swift Dzire,2014,51073,PETROL,MANUAL,475000
Honda Amaze 1.2L,2019,21638,PETROL,AUTOMATIC,697000
Maruti Celerio VXI,2016,98473,CNG,MANUAL,423000
Honda WR-V 1.2L,2018,45344,PETROL,MANUAL,659000
Tata ALTROZ XZA,2022,17069,PETROL,AUTOMATIC,802999
Hyundai Elite i20,2017,81800,PETROL,MANUAL,498000
Hyundai Eon MAGNA,2014,52794,PETROL,MANUAL,246000
Hyundai GRAND I10,2020,45665,PETROL,AUTOMATIC,692000
Maruti Ciaz DELTA,2017,75639,PETROL,MANUAL,563000
Maruti Swift VXI,2012,89589,PETROL,MANUAL,287000
Honda Amaze 1.2L,2019,37264,PETROL,MANUAL,599000
Jeep Compass LIMITED,2019,36921,PETROL,AUTOMATIC,1551000
Honda Brio S,2014,34445,PETROL,MANUAL,365000
Toyota YARIS G,2019,42324,PETROL,MANUAL,916000
Nissan Micra XL,2017,33283,PETROL,AUTOMATIC,496000
Maruti Celerio VXI,2016,82960,PETROL,MANUAL,337000
Tata Tiago XT,2023,11247,PETROL,MANUAL,666000
Renault TRIBER RXT,2022,35860,PETROL,AUTOMATIC,732000
Jeep Compass LIMITED,2019,46444,PETROL,AUTOMATIC,1340000
Maruti New Wagon-R,2022,12195,PETROL,MANUAL,582000
Maruti Celerio X,2018,13750,PETROL,AUTOMATIC,478000
Maruti Swift VXI,2017,52175,PETROL,MANUAL,453000
Volkswagen Polo GT,2018,24790,DIESEL,MANUAL,711000
Jeep Compass LIMITED,2019,55119,PETROL,AUTOMATIC,1560000
Jeep Compass LIMITED,2018,72934,DIESEL,MANUAL,1104000
Hyundai VENUE SX,2021,30626,PETROL,MANUAL,971000
Hyundai Verna 1.4,2018,95648,PETROL,MANUAL,601000
