,Car_name,Year,Distance,Fuel_type,Drive,Price
90,KIA SONET GTX,2023,6825,DIESEL,MANUAL,1420000
91,Maruti New Wagon-R,2019,57936,PETROL,MANUAL,513000
92,Hyundai NEW SANTRO,2020,29027,PETROL,MANUAL,497000
93,Maruti IGNIS ZETA,2017,41186,PETROL,AUTOMATIC,532000
94,Maruti Alto 800,2016,71670,PETROL,MANUAL,286000
95,Honda WR-V 1.5L,2017,71092,DIESEL,MANUAL,676000
96,Maruti Swift Dzire,2015,27571,PETROL,MANUAL,401999
97,KIA SONET HTE,2022,16864,DIESEL,MANUAL,926000
98,Maruti Ertiga VXI,2014,65000,PETROL,MANUAL,557000
99,Hyundai GRAND I10,2021,10826,PETROL,AUTOMATIC,774000
100,Honda Amaze 1.2L,2019,37264,PETROL,MANUAL,599000
101,Maruti Swift Dzire,2013,106215,PETROL,MANUAL,455000
102,Hyundai GRAND I10,2021,15700,PETROL,AUTOMATIC,668000
103,Maruti Swift VXI,2022,27924,PETROL,MANUAL,660000
104,Hyundai Eon ERA,2014,69639,PETROL,MANUAL,223000
105,Maruti Swift VXI,2014,32386,PETROL,MANUAL,381000
106,Maruti Swift VXI,2021,9454,PETROL,MANUAL,682000
107,Maruti Dzire VXI,2018,83337,PETROL,AUTOMATIC,597000
108,Maruti Celerio ZXI,2015,75112,PETROL,AUTOMATIC,419000
109,Hyundai VENUE SX,2021,30626,PETROL,MANUAL,971000
110,Nissan MAGNITE XV,2021,53265,PETROL,MANUAL,698000
111,Tata NEXON XM,2020,45935,PETROL,MANUAL,761000
112,Maruti Vitara Brezza,2021,47963,PETROL,MANUAL,836000
113,Tata NEXON XZ,2021,8119,PETROL,MANUAL,928999
114,Tata TIGOR XM,2021,39090,PETROL,MANUAL,606000
115,Honda Amaze 1.2L,2017,78868,PETROL,MANUAL,438999
116,Maruti Wagon R,2014,96964,PETROL,MANUAL,354000
117,Maruti Swift VDI,2014,82386,DIESEL,MANUAL,399000
118,Maruti Celerio VXI,2014,50026,PETROL,MANUAL,346000
119,Maruti Celerio VXI,2022,48731,CNG,MANUAL,692000
120,Maruti Vitara Brezza,2017,89916,DIESEL,MANUAL,769000
121,Maruti Baleno ZETA,2021,21827,PETROL,MANUAL,749000
122,Maruti Swift Dzire,2016,83828,DIESEL,MANUAL,623000
123,Hyundai AURA SX,2020,9017,PETROL,MANUAL,728000
124,Tata ALTROZ XE,2021,9278,PETROL,MANUAL,609000
125,Maruti IGNIS ZETA,2022,19562,PETROL,MANUAL,660000
126,Hyundai Grand i10,2015,55222,PETROL,MANUAL,497000
127,Hyundai Xcent S,2014,24478,PETROL,MANUAL,353000
128,Hyundai Creta SX,2016,45445,PETROL,AUTOMATIC,914000
129,Maruti Alto 800,2013,81062,PETROL,MANUAL,204999
130,Maruti Alto LXI,2022,7278,PETROL,MANUAL,391000
131,Maruti Alto VXI,2020,17009,PETROL,MANUAL,397000
132,Maruti IGNIS ALPHA,2022,22309,PETROL,AUTOMATIC,743000
133,Tata PUNCH CREATIVE,2021,37860,PETROL,MANUAL,816000
134,Maruti Swift Dzire,2016,70663,PETROL,MANUAL,569000
135,Renault Duster 85,2015,91542,DIESEL,MANUAL,463000
136,Hyundai i10 MAGNA,2013,69725,PETROL,MANUAL,274000
137,Hyundai Eon MAGNA,2016,13699,PETROL,MANUAL,254999
138,Hyundai Elite i20,2015,59786,CNG,MANUAL,554000
139,Tata NEXON KRAZ,2019,63271,DIESEL,MANUAL,687000
140,Nissan MAGNITE XL,2022,41155,PETROL,MANUAL,693000
141,Hyundai Creta SX,2017,91997,PETROL,MANUAL,936999
142,Maruti Baleno DELTA,2021,28154,PETROL,MANUAL,694000
143,Skoda Rapid 1.5,2016,55121,DIESEL,AUTOMATIC,689000
144,Hyundai GRAND I10,2020,17472,PETROL,MANUAL,707000
145,Maruti Alto K10,2018,57031,PETROL,MANUAL,343000
146,Datsun Redi Go,2020,16537,PETROL,AUTOMATIC,474000
147,Honda City 1.5L,2018,100483,PETROL,AUTOMATIC,858000
148,Tata NEXON XZA,2022,17969,PETROL,AUTOMATIC,1072000
149,Maruti Baleno DELTA,2016,39920,PETROL,MANUAL,561000
150,Volkswagen Polo TRENDLINE,2016,81433,PETROL,MANUAL,428000
151,Renault Kwid RXL,2018,18149,PETROL,MANUAL,308000
152,Maruti Swift Dzire,2012,110904,DIESEL,MANUAL,447000
153,Tata NEXON XZA,2020,59046,PETROL,AUTOMATIC,1090000
154,Maruti Wagon R,2012,63662,PETROL,MANUAL,280000
155,Maruti Dzire ZXI,2022,42000,PETROL,AUTOMATIC,801000
156,Maruti Swift VXI,2016,66545,PETROL,MANUAL,509000
157,Tata Tiago XT,2021,52679,PETROL,MANUAL,602000
158,Maruti Baleno ZETA,2022,34474,PETROL,MANUAL,819999
159,Ford Ecosport TITANIUM,2019,64106,PETROL,MANUAL,799000
160,Honda Amaze 1.5L,2019,54392,DIESEL,AUTOMATIC,811000
161,Maruti Dzire VXI,2017,99781,PETROL,MANUAL,654000
162,Mahindra XUV300 W8,2022,11911,PETROL,AUTOMATIC,1325000
163,Maruti Alto LXI,2021,6820,PETROL,MANUAL,376000
164,Maruti S PRESSO,2020,34771,PETROL,AUTOMATIC,463000
165,Tata Tiago XZ,2017,79584,PETROL,MANUAL,444000
166,Honda City 1.5L,2015,65051,PETROL,MANUAL,558000
167,Maruti Dzire VXI,2022,16023,PETROL,AUTOMATIC,835000
168,Hyundai NEW SANTRO,2018,22539,PETROL,MANUAL,441000
169,Maruti Wagon R,2016,75999,PETROL,MANUAL,367000
170,Jeep Compass LONGITUDE,2018,42770,PETROL,AUTOMATIC,1483000
171,Maruti Celerio ZXI,2018,70785,PETROL,MANUAL,515000
172,Hyundai Grand i10,2020,22924,PETROL,MANUAL,602000
173,Maruti Vitara Brezza,2020,54344,PETROL,MANUAL,802000
174,Maruti Ciaz DELTA,2017,105756,PETROL,MANUAL,591000
175,Maruti Ciaz VXI,2016,79730,PETROL,MANUAL,478000
176,Renault Kwid RXT,2022,12692,PETROL,MANUAL,540000
177,Tata ALTROZ XZ,2022,19179,PETROL,MANUAL,824000
178,Maruti New Wagon-R,2021,50418,CNG,MANUAL,629000
179,Hyundai Eon ERA,2016,35023,PETROL,MANUAL,343000
180,Nissan MAGNITE XE,2021,30455,PETROL,MANUAL,578000
181,Ford Ecosport TITANIUM,2020,31546,PETROL,AUTOMATIC,917000
182,Maruti Wagon R,2012,71101,PETROL,MANUAL,291000
183,Hyundai Elite i20,2016,80528,PETROL,MANUAL,562000
184,Maruti New Wagon-R,2021,33513,PETROL,AUTOMATIC,661000
185,Tata NEXON XZ,2021,33905,PETROL,MANUAL,936000
186,Maruti Baleno ZETA,2017,80312,PETROL,MANUAL,526000
187,Hyundai Grand i10,2019,25709,PETROL,MANUAL,588000
188,Tata NEXON XM,2019,68574,DIESEL,MANUAL,629000
189,Mahindra XUV300 W6,2022,16432,PETROL,AUTOMATIC,1017000
190,Maruti S PRESSO,2021,9285,PETROL,MANUAL,442000
191,Maruti Ciaz ALPHA,2017,43537,PETROL,MANUAL,695000
192,Tata NEXON XM,2023,18020,PETROL,MANUAL,955000
193,Datsun Redi Go,2019,49573,PETROL,MANUAL,233000
194,Hyundai Elite i20,2018,40288,PETROL,MANUAL,569000
195,Renault Kwid RXT,2017,79094,PETROL,MANUAL,206000
196,Renault Kwid RXT,2020,38494,PETROL,AUTOMATIC,547000
197,Hyundai Verna SX,2020,38431,PETROL,MANUAL,969000
198,Honda WR-V 1.2L,2021,25061,PETROL,MANUAL,869000
199,Maruti Baleno DELTA,2021,30880,PETROL,MANUAL,705000
200,Maruti Celerio VXI,2018,71263,CNG,MANUAL,436000
201,Renault Kwid RXT,2019,23998,PETROL,AUTOMATIC,554000
202,Maruti Dzire VXI,2020,14676,PETROL,MANUAL,651000
203,Maruti Baleno DELTA,2018,40667,PETROL,AUTOMATIC,528000
204,Maruti Alto VXI,2020,35457,PETROL,MANUAL,361000
205,Hyundai i10 SPORTZ,2012,86618,PETROL,AUTOMATIC,294000
206,Mahindra XUV300 W8,2022,11682,PETROL,AUTOMATIC,1275000
207,Hyundai Grand i10,2015,45766,PETROL,MANUAL,483000
208,Maruti S PRESSO,2019,8458,PETROL,MANUAL,454000
209,Honda City 1.5L,2012,57242,PETROL,MANUAL,499000
210,Tata NEXON XE,2023,390,PETROL,MANUAL,803999
211,Ford Ecosport TREND,2016,49772,PETROL,MANUAL,637000
212,Renault Kwid RXT,2016,29245,PETROL,MANUAL,303000
213,Hyundai Grand i10,2015,26690,PETROL,MANUAL,335000
214,Hyundai GRAND I10,2019,29932,PETROL,MANUAL,542000
215,Hyundai Creta SX,2016,20999,PETROL,MANUAL,791000
216,Toyota URBAN CRUISER,2022,30938,PETROL,AUTOMATIC,1141000
217,Maruti Ciaz VXI+,2015,95738,PETROL,MANUAL,543000
218,Ford Ecosport TREND,2017,109433,DIESEL,MANUAL,424000
219,Renault Kwid RXT,2018,58886,PETROL,MANUAL,366000
220,Hyundai Grand i10,2015,81714,PETROL,MANUAL,475000
221,Tata NEXON XZ,2022,18598,PETROL,MANUAL,975000
222,Maruti New Wagon-R,2019,37678,PETROL,MANUAL,509999
223,Maruti Swift Dzire,2011,110407,DIESEL,MANUAL,377000
224,Volkswagen Ameo COMFORTLINE,2019,34651,PETROL,MANUAL,572000
225,Hyundai VENUE SX,2020,51652,PETROL,MANUAL,938000
