iter	RMSE
140	152466.1548
141	152211.7772
142	151975.2347
143	151749.4559
144	151540.6715
145	151337.5941
146	151108.1626
147	150950.6196
148	150666.0185
149	150425.8597
150	150337.7918
151	150147.6554
152	149901.4317
153	149635.6846
154	149371.5407
155	149182.6786
156	149032.1404
157	148915.3202
158	148707.6528
159	148459.004
160	148199.1063
161	147921.1991
162	147824.662
163	147545.264
164	147424.1838
165	147178.8299
166	146937.5079
167	146840.7679
168	146573.3689
169	146359.416
170	146132.2457
171	145864.5539
172	145600.8799
173	145437.9876
174	145173.9153
175	144918.8884
176	144842.6394
177	144684.2599
178	144531.3877
179	144445.3833
180	144353.7332
181	144255.5918
182	144042.3311
183	143972.1201
184	143858.6221
185	143561.7191
186	143491.2349
187	143198.8097
188	142943.4926
189	142713.6275
190	142433.255
191	142283.6892
192	142190.3309
193	141930.8556
194	141832.3259
195	141621.0976
196	141437.1583
197	141176.2031
198	140955.3666
199	140886.4715
200	140665.2481
201	140458.9125
202	140257.9272
203	140189.477
204	140122.6996
205	139883.0653
206	139739.382
207	139508.6954
208	139443.2834
209	139327.0834
210	139125.3499
211	139061.3007
212	138871.9223
213	138655.6982
214	138471.7161
215	138286.4527
216	138223.0624
217	137985.5726
218	137765.661
219	137620.2684
220	137558.3933
221	137452.6747
222	137239.7435
223	137178.9225
224	136971.1356
225	136789.7127
226	136592.0469
227	136531.9549
228	136425.3014
229	136136.6575
230	135942.9885
231	135783.4492
232	135603.2504
233	135543.7574
234	135327.2553
235	135127.9053
236	134915.7786
237	134747.5967
238	134647.6923
239	134588.6639
240	134446.4004
241	134244.8338
242	134149.0649
243	134091.0484
244	133927.4814
245	133726.1233
246	133587.3228
247	133379.4505
248	133322.3458
249	133126.4901
250	132981.2334
251	132815.459
252	132691.4884
253	132536.8135
254	132393.7371
255	132336.6754
256	132139.8379
257	132046.4277
258	131990.0401
259	131820.6168
260	131730.9212
261	131536.1469
262	131480.5731
263	131425.7579
264	131262.1275
265	131094.6469
266	131040.5812
267	130883.7788
268	130703.98
269	130650.352
270	130529.0805
271	130441.9412
272	130293.4267
273	130086.2909
274	130033.2128
275	129841.7157
276	129675.8719
277	129623.3205
278	129503.0165
279	129367.652
280	129202.1044
281	129110.7976
282	129008.1015
283	128925.0982
284	128779.8212
285	128694.7161
286	128498.8406
287	128331.1115
288	128201.6026
289	128149.1739
290	128097.45
291	128046.4595
292	127996.212
293	127888.7492
294	127659.5106
295	127492.128
296	127442.3349
297	127278.8358
298	127123.4199
299	127074.2261
300	127025.6376
301	126861.9021
302	126786.6802
303	126623.5677
304	126575.5815
305	126443.6288
306	126307.6606
307	126260.1548
308	126213.2941
309	126041.9873
310	125948.1969
311	125755.8385
312	125603.3302
313	125465.0826
314	125324.868
315	125142.9125
316	125096.1255
317	125020.4696
318	124836.5873
319	124714.5041
320	124668.1947
321	124622.3733
322	124506.2463
323	124378.4687
324	124217.6282
325	124073.4566
326	124027.9794
327	123932.5527
328	123859.9662
329	123814.9621
330	123715.3961
331	123578.8711
332	123534.2885
333	123377.7248
334	123333.6416
335	123190.7429
336	123074.4312
337	122894.6401
338	122824.1457
339	122780.3597
340	122707.3346
341	122664.1098
342	122528.5749
343	122414.4908
344	122289.8403
345	122185.5487
346	122142.547
347	122100.1725
348	121966.054
349	121898.1048
350	121784.5327
351	121742.4664
352	121593.5414
353	121463.7983
354	121422.2116
355	121381.0453
356	121277.775
357	121187.4078
358	121146.7133
359	121011.4945
360	120946.042
361	120845.4598
362	120722.7045
363	120682.3587
364	120599.4981
365	120434.506
366	120394.5203
367	120281.4454
368	120241.8872
369	120178.849
370	120052.166
371	120012.8848
372	119891.9288
373	119764.1616
374	119658.244
375	119619.3055
376	119580.7479
377	119413.8738
378	119293.3109
379	119234.8664
380	119136.4562
381	119020.3022
382	118982.052
383	118944.1853
384	118792.3724
385	118707.8587
386	118670.3083
387	118523.068
388	118408.8041
389	118352.4408
390	118268.5996
391	118166.1697
392	118128.8087
393	118091.8611
394	117996.7678
395	117900.1749
396	117786.9376
397	117750.2647
398	117609.3568
399	117459.615
400	117350.7732
401	117197.3582
402	117160.8353
403	117124.7592
404	117053.4219
405	116944.2815
406	116908.4987
407	116746.9268
408	116711.3788
409	116581.4994
410	116430.153
411	116339.0273
412	116303.7131
413	116198.605
414	116143.2275
415	116108.0919
416	115984.214
417	115949.4386
418	115859.9483
419	115789.6286
420	115649.4358
421	115544.0458
422	115509.5387
423	115475.2552
424	115363.3021
425	115249.7713
426	115113.1669
427	115058.886
428	115024.8977
429	114903.9705
430	114810.9584
431	114723.5548
432	114643.9391
433	114610.0073
434	114496.1287
435	114442.9913
436	114409.346
437	114306.2002
438	114272.877
439	114156.6589
440	114070.1884
441	114037.042
442	113968.3692
443	113916.4918
444	113809.9454
445	113777.1145
446	113655.1027
447	113622.4626
448	113545.8845
449	113513.5587
450	113462.6865
451	113371.9293
452	113339.8944
453	113220.7146
454	113121.6262
455	113089.8019
456	113021.9969
457	112990.5033
458	112904.5851
459	112832.2776
460	112762.3659
461	112710.7871
462	112616.0298
463	112519.7259
464	112469.5043
465	112381.2866
466	112349.8769
467	112318.7562
468	112253.0904
469	112176.9744
470	112085.8572
471	111996.4123
472	111965.5219
473	111934.8848
474	111838.0743
475	111727.3075
476	111650.8356
477	111620.4476
478	111572.4119
479	111542.2095
480	111512.3594
481	111417.667
482	111344.6155
483	111212.4767
484	111149.2395
485	111086.2903
486	110957.9284
487	110894.13
488	110847.1368
489	110769.0935
490	110679.321
491	110591.7776
492	110522.0656
493	110492.1642
494	110413.2591
495	110302.0457
496	110272.1758
497	110182.1081
498	110125.1154
499	110033.6722
500	110004.1566
501	109956.5762
502	109927.2473
503	109881.0548
504	109836.1721
505	109806.9898
506	109763.3319
507	109666.1508
508	109637.3362
509	109575.2885
510	109521.6065
511	109418.5085
512	109376.402
513	109347.6675
514	109234.4823
515	109193.2838
516	109097.8398
517	109000.2006
518	108925.8201
519	108852.221
520	108823.4511
521	108795.1085
522	108684.9561
523	108656.779
524	108595.1511
525	108507.6304
526	108425.1096
527	108372.819
528	108344.746
529	108317.1302
530	108252.434
531	108166.3538
532	108077.1105
533	108014.5686
534	107986.8987
535	107879.4549
536	107852.1088
537	107777.9059
538	107651.1297
539	107610.9207
540	107492.0087
541	107395.902
542	107282.7646
543	107203.8765
544	107125.8627
545	107045.9253
546	107018.3906
547	106953.448
548	106855.8875
549	106828.5667
550	106801.4926
551	106732.1821
552	106705.4501
553	106651.3446
554	106581.4159
555	106554.6946
556	106514.9469
557	106488.4309
558	106395.8141
559	106310.2265
560	106215.278
561	106188.802
562	106162.6658
563	106105.6059
564	106079.5742
565	106004.4829
566	105956.1106
567	105893.8368
568	105820.7731
569	105777.9633
570	105752.1718
571	105713.9517
572	105646.5984
573	105532.7174
574	105506.8092
575	105435.1117
576	105359.5681
577	105277.8062
578	105191.1102
579	105165.3511
580	105139.7712
581	105102.1694
582	105035.4223
583	104970.1745
584	104944.6874
585	104870.5082
586	104845.3004
587	104820.3496
588	104795.4598
589	104725.6567
590	104701.0774
591	104625.6434
592	104601.0745
593	104564.3511
594	104511.8397
595	104452.8027
596	104428.5571
597	104345.8605
598	104321.5417
599	104275.3019
600	104199.6167
601	104175.4546
602	104107.5134
603	104037.3492
604	103999.9397
605	103952.3669
606	103928.3421
607	103822.934
608	103735.5362
609	103711.5917
610	103676.2343
611	103652.4901
612	103582.9187
613	103498.8224
614	103446.9143
615	103357.1757
616	103333.6294
617	103240.7763
618	103217.2083
619	103180.5691
620	103114.7956
621	103071.5223
622	102977.8611
623	102954.4035
624	102931.152
625	102908.0338
626	102825.6254
627	102789.1256
628	102697.2196
629	102633.1659
630	102610.2031
631	102550.8391
632	102527.886
633	102468.7099
634	102400.8411
635	102376.1318
636	102351.7667
637	102284.2122
638	102260.125
639	102236.4539
640	102150.74
641	102127.2567
642	102104.1089
643	102081.2337
644	102058.6455
645	102036.4073
646	102014.5405
647	101992.756
648	101928.5155
649	101906.9624
650	101885.6456
651	101864.5587
652	101830.03
653	101809.234
654	101727.9528
655	101695.4445
656	101630.4862
657	101559.6392
658	101475.4492
659	101403.5658
660	101382.8732
661	101336.9097
662	101287.4541
663	101224.2377
664	101203.7082
665	101129.6007
666	101040.8118
667	100979.4257
668	100900.5243
669	100863.4976
670	100831.5098
671	100772.6473
672	100712.0546
673	100649.0819
674	100548.5759
675	100480.2725
676	100426.5394
677	100362.18
678	100294.0174
679	100261.9146
680	100203.6238
681	100144.7831
682	100123.3535
683	100102.2283
684	100081.2071
685	100060.2701
686	100039.4249
687	99994.40507
688	99919.43175
689	99898.7705
690	99850.05762
691	99775.52032
692	99717.9962
693	99630.05381
694	99571.39832
695	99516.14466
696	99456.55661
697	99435.97714
698	99404.57382
699	99383.87911
700	99322.80021
701	99302.18724
702	99260.84008
703	99240.34899
704	99220.08406
705	99133.38492
706	99041.97881
707	99021.73398
708	98970.22394
709	98950.07211
710	98871.19976
711	98840.47326
712	98758.56908
713	98719.2395
714	98655.66299
715	98635.54505
716	98579.35435
717	98528.15294
718	98508.14151
719	98478.20102
720	98385.21246
721	98341.69029
722	98321.77125
723	98301.91443
724	98238.89592
725	98192.01855
726	98125.51477
727	98058.49252
728	98038.80552
729	98019.4901
730	97956.42509
731	97936.8545
732	97917.34839
733	97861.72799
734	97786.71958
735	97709.46508
736	97690.16105
737	97660.56878
738	97641.28583
739	97603.09086
740	97546.63089
741	97483.45476
742	97416.12995
743	97353.43582
744	97300.53208
745	97281.29315
746	97262.13439
747	97212.40333
748	97165.53711
749	97098.16483
750	97079.1878
751	97020.20382
752	96990.36738
753	96926.52047
754	96907.53157
755	96859.94199
756	96841.09653
757	96780.99984
758	96699.91253
759	96644.32051
760	96607.34845
761	96546.43702
762	96527.59323
763	96508.96092
764	96490.34591
765	96432.43444
766	96404.02651
767	96359.41641
768	96298.16213
769	96240.39593
770	96221.8609
771	96203.43101
772	96185.18188
773	96166.96172
774	96139.33431
775	96042.95186
776	96024.78961
777	95986.29008
778	95938.51522
779	95905.0491
780	95852.66969
781	95774.07815
782	95708.95326
783	95654.73758
784	95595.57728
785	95577.35284
786	95507.74474
787	95489.75687
788	95471.73044
789	95423.70579
790	95382.59668
791	95354.23521
792	95336.31508
793	95318.61238
794	95243.86295
795	95226.13786
796	95175.18286
797	95157.54322
798	95130.94539
799	95076.90113
800	95028.72724
801	94981.52059
802	94932.63252
803	94873.54751
804	94855.96386
805	94783.63442
806	94766.11475
807	94732.76415
808	94692.27978
809	94629.70368
810	94595.00622
811	94528.35129
812	94510.88901
813	94465.66115
814	94448.31157
815	94421.01634
816	94370.80887
817	94304.12793
818	94286.86217
819	94231.90356
820	94214.76049
821	94167.64446
822	94133.15731
823	94086.71569
824	94041.63215
825	93978.88685
826	93961.82226
827	93885.95697
828	93848.9229
829	93831.87064
830	93768.68365
831	93719.32729
832	93692.66112
833	93675.66404
834	93625.71006
835	93579.48026
836	93562.54359
837	93517.7942
838	93500.96263
839	93475.93589
840	93427.61125
841	93396.19213
842	93379.61491
843	93354.01895
844	93292.51279
845	93241.75522
846	93183.45479
847	93166.7153
848	93115.77067
849	93099.11558
850	93054.76749
851	93021.99916
852	93005.4245
853	92989.02846
854	92941.03446
855	92901.45044
856	92876.85202
857	92847.82855
858	92772.08679
859	92748.80349
860	92714.33572
861	92666.97435
862	92650.61504
863	92634.41717
864	92618.21786
865	92543.78962
866	92521.13462
867	92480.09089
868	92464.11452
869	92448.10607
870	92420.93555
871	92375.79137
872	92359.82633
873	92343.96376
874	92292.76589
875	92246.95416
876	92164.99393
877	92120.88369
878	92105.02428
879	92037.92355
880	91987.82902
881	91949.08478
882	91906.83291
883	91891.015
884	91835.14841
885	91790.74918
886	91748.20514
887	91726.07985
888	91672.69253
889	91651.8663
890	91601.98327
891	91553.51333
892	91523.78357
893	91507.96497
894	91450.56803
895	91434.85432
896	91375.36161
897	91309.62133
898	91293.97407
899	91259.10196
900	91202.09999
901	91186.48809
902	91171.07045
903	91113.35602
904	91071.02898
905	91026.31744
906	90984.34362
907	90946.86702
908	90931.41655
909	90916.07795
910	90900.8749
911	90875.2262
912	90860.01667
913	90803.34732
914	90742.14334
915	90694.20699
916	90619.42121
917	90604.25853
918	90551.57958
919	90511.87832
920	90483.94457
921	90449.88778
922	90400.03987
923	90358.30413
924	90321.37754
925	90280.47668
926	90242.52172
927	90227.34468
928	90180.1786
929	90123.31481
930	90099.63766
931	90084.546
932	90034.72718
933	89984.31299
934	89933.49484
935	89918.53398
936	89860.92177
937	89845.92438
938	89831.01888
939	89816.19179
940	89792.90127
941	89756.88463
942	89724.72326
943	89693.16969
944	89678.44235
945	89639.40364
946	89624.76167
947	89585.44818
948	89521.61327
949	89480.66676
950	89428.96144
951	89358.17774
952	89324.76344
953	89310.15584
954	89295.69207
955	89272.87398
956	89258.49149
957	89244.11037
958	89194.9572
959	89164.26173
960	89108.91378
961	89066.08722
962	89037.42671
963	89023.04077
964	89002.76589
965	88975.22118
966	88923.76627
967	88883.25342
968	88851.03082
969	88820.24567
970	88763.24633
971	88748.85864
972	88734.59692
973	88682.62514
974	88633.67201
975	88588.29357
976	88539.15263
977	88488.36693
978	88444.73568
979	88401.89061
980	88348.10167
981	88305.28338
982	88290.97443
983	88235.37975
984	88221.09373
985	88163.99841
986	88149.80902
987	88114.31766
988	88065.88825
989	88045.03215
990	88030.98022
991	88017.02367
992	88003.0526
993	87981.9701
994	87954.68754
995	87919.10978
996	87877.06503
997	87835.59502
998	87786.05895
999	87751.52194
